a_cheaper_bootstrap_share,a_cheaper_replicates,a_higher_pass_rate_bootstrap_share,a_higher_pass_rate_replicates,bca_acceleration,bca_bias_correction,bca_defined_jackknife_clusters,bca_log_cpsc_ratio_ci_high,bca_log_cpsc_ratio_ci_low,config_a,config_b,defined_pass_rate_replicates,defined_replicates,log_cpsc_ratio_ci_high,log_cpsc_ratio_ci_low,pass_rate_difference_ci_high,pass_rate_difference_ci_low,point_log_cpsc_ratio,probability_a_cheaper,probability_tied,tied_cpsc_replicates
1.0,10000,1.0,10000,0.02048371985940921,0.07124847744177844,113,-2.1907162609731965,-2.9013169642781502,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gemini_3_1_pro_preview_high,10000,10000,-2.2270074432321767,-2.9493929643998253,0.5491525117762355,0.4058461816119218,-2.548888652504497,1.0,0.0,0
1.0,10000,1.0,10000,0.007478971378915543,0.049400662763042454,113,-0.9385139978267923,-1.3238655779237665,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gemini_3_5_flash_medium,10000,10000,-0.9506982866599129,-1.336600471895691,0.29461246917162337,0.14924184816960373,-1.1357394936272245,1.0,0.0,0
0.992,9920,1.0,10000,0.0028393090454717634,0.0436291694135674,113,-0.03081622329381298,-0.39133379025360177,mini_swe_agent_claude_fable_5_low,mini_swe_agent_glm_5_2_high,10000,10000,-0.04081637950788433,-0.4019952585940749,0.30621374681466906,0.16091044555049386,-0.21440856744194772,0.992,0.0,0
1.0,10000,1.0,10000,0.00784275663017804,0.027325648448876704,113,-0.17519143757446193,-0.5218255258328357,mini_swe_agent_claude_fable_5_low,mini_swe_agent_glm_5_2_max,10000,10000,-0.1825554033015864,-0.5305381231494434,0.22726445519661714,0.08610141291021546,-0.3504806471432987,1.0,0.0,0
1.0,10000,0.9743,9743,0.008297249916674203,0.023564486434286023,113,-0.3699537513316517,-0.7210980612044263,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_4_xhigh,10000,10000,-0.37623854009128604,-0.7283833460150267,0.15822732300884954,-0.00041885213578312535,-0.5488202281210476,1.0,0.0,0
0.9989,9989,0.0905,905,0.016474771040062213,0.01629380472485912,113,-0.0668826793781652,-0.38227863879312873,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_5_high,10000,10000,-0.07451647010800135,-0.3899222621270601,0.021127442288183793,-0.11779314721811592,-0.22805385343657383,0.9989,0.0,0
0.0053,53,1.0,10000,0.012250336182151876,0.04187292522767448,113,0.5982114202602313,0.09954147850819622,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_5_low,10000,10000,0.5831529249233144,0.08090388441518379,0.3998141404799904,0.2501411416720052,0.349479817902441,0.0053,0.0,0
0.0145,145,0.9045,9045,0.01224568982778809,0.041622043870188516,113,0.4095685356124392,0.034309734796964204,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_5_medium,10000,10000,0.39824365849499876,0.02169984644700116,0.13991756699532013,-0.029679052836911756,0.21375545040605018,0.0145,0.0,0
1.0,10000,0.0245,245,0.01471529938131306,0.008773311508328054,113,-0.3765666651745678,-0.6868054083100205,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_5_xhigh,10000,10000,-0.3822749554770737,-0.6932084818575783,-0.0004287977510534609,-0.14953628765020047,-0.5360364773078384,1.0,0.0,0
0.0,0,0.9998,9998,0.008740958452247618,0.03685577776812631,113,1.4603085271135579,1.0971136805533521,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_luna_high,10000,10000,1.4521816624398174,1.0877493906549343,0.23060563594704364,0.07391479422223875,1.2774228027770966,0.0,0.0,0
0.3114622119351917,3095,1.0,10000,0.08095360609612057,0.0956229132846783,113,1.19578987971573,-0.7239349243918124,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_luna_low,10000,9937,0.9964633165181318,-1.0571926346541423,0.648022604521394,0.5127953503627242,0.2993220556632935,0.3114622119351917,0.0,0
0.0,0,0.0242,242,0.007581846573927656,-0.001754640692595318,113,0.4914598652280373,0.18477507125112316,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_luna_max,10000,10000,0.48869742013926587,0.1825597379685866,-0.0004457090870962586,-0.15272037911737205,0.3360074032216854,0.0,0.0,0
0.0,0,1.0,10000,0.024952623349079106,0.06546973825647305,113,1.5588375271388062,0.8322968020842196,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_luna_medium,10000,10000,1.5157239172199046,0.7772616046627687,0.553834808259587,0.41278654831162775,1.1908184219720506,0.0,0.0,0
0.0,0,0.7492,7492,0.012893014037039205,0.03284273371844666,113,1.021256034339694,0.6854434536838908,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_luna_xhigh,10000,10000,1.0131640584932577,0.6754789125569559,0.10802091161339486,-0.05312426424600417,0.8480914555040576,0.0,0.0,0
0.002,20,0.0058,58,0.01578782396115004,0.018299407668827677,113,0.40087519151490775,0.08148117653646908,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_sol_high,10000,10000,0.3923861149926371,0.07352697001038017,-0.02315255040109224,-0.172567290109833,0.23226063551258502,0.002,0.0,0
0.0,0,0.9998,9998,0.001375481400550887,0.04036767606175351,113,1.1539365105135837,0.8060154025152243,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_sol_low,10000,10000,1.1458641827937934,0.7977301303417125,0.22440270121121722,0.062216346228215376,0.9793210115746847,0.0,0.0,0
1.0,10000,0.0001,1,0.011393587739677814,0.01052803323717832,113,-0.44770484302144153,-0.7508840107985819,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_sol_max,10000,10000,-0.453326150695264,-0.7558118596274427,-0.05404085598595387,-0.2080627079623734,-0.6042718095894023,1.0,0.0,0
0.0,0,0.3599,3599,0.012895258330982741,0.032341141724867746,113,0.8969168904530699,0.5702551208426765,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_sol_medium,10000,10000,0.8889360900843687,0.5581207928497088,0.0641808013765978,-0.09236738349435741,0.7266817071514516,0.0,0.0,0
0.7547,7547,0.0012,12,0.017163877180039377,0.010026681100274763,113,0.11395550684173691,-0.20851696814455964,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_sol_xhigh,10000,10000,0.10586230436573803,-0.21518912576355922,-0.03518320499311891,-0.18930113233461668,-0.052986704067928506,0.7547,0.0,0
0.0,0,0.9308,9308,0.011407839125659342,0.029331756209256876,113,1.2666602827612816,0.9263814279434004,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_terra_high,10000,10000,1.2579074005966067,0.9176229125151197,0.1361127054939528,-0.01861697401946151,1.0949275821313338,0.0,0.0,0
0.0,0,1.0,10000,0.009500201018665576,0.05442068377809247,113,1.5175208173057009,1.0118008414607824,mini_swe_agent_claude_fable_5_low,mini_swe_agent_gpt_5_6_terra_low,10000,10000,1.4980379116442968,0.9887066145624964,0.43073843259090394,0.2810758408171026,1.265967067964103,0.0,0.0,0
