attempts,conditional_failed_spend_usd,conditional_successful_spend_usd,config,failures,harness,imputed_cost_rows,mean_cost_per_attempt_usd,model,observed_cost_rows,pass_rate,pass_rate_rank,provider,rank_displacement,realized_cpsc_rank,realized_cpsc_usd,realized_reliability_tax_share,realized_reliability_tax_usd,reasoning_effort,stratum,successes,task_coverage_rate,tasks_in_stratum,tasks_with_any_success,total_cost_usd
68,1.4308911029411764,,mini_swe_agent_gpt_5_5_low,68,mini-swe-agent,0,1.4308911029411764,gpt-5-5,68,0.0,40.5,openai,,,,,,low,rare,0,0.0,17,0,97.300595
68,2.9379000175438597,4.297926454545454,mini_swe_agent_gpt_5_5_medium,57,mini-swe-agent,0,3.157904294117647,gpt-5-5,68,0.16176470588235295,19.5,openai,-9.5,10.0,19.521590181818183,0.7798372768552219,15.223663727272728,medium,rare,11,0.35294117647058826,17,6,214.737492
68,7.809865784313725,10.181193176470588,mini_swe_agent_gpt_5_5_xhigh,51,mini-swe-agent,0,8.402697632352941,gpt-5-5,68,0.25,9.0,openai,15.0,24.0,33.61079052941176,0.6970855782888732,23.429597352941176,xhigh,rare,17,0.7058823529411765,17,12,571.383439
68,0.9311389492063492,1.10130232,mini_swe_agent_gpt_5_6_luna_high,63,mini-swe-agent,0,0.9436509617647059,gpt-5-6-luna,68,0.07352941176470588,31.0,openai,-27.0,4.0,12.83365308,0.914186372879576,11.73235076,high,rare,5,0.23529411764705882,17,4,64.1682654
68,0.07651857941176471,,mini_swe_agent_gpt_5_6_luna_low,68,mini-swe-agent,0,0.07651857941176471,gpt-5-6-luna,68,0.0,40.5,openai,,,,,,low,rare,0,0.0,17,0,5.2032634
68,3.861600776744186,4.427830264,mini_swe_agent_gpt_5_6_luna_max,43,mini-swe-agent,0,4.069773382352941,gpt-5-6-luna,68,0.36764705882352944,2.0,openai,-1.0,1.0,11.069783600000001,0.6000075137873517,6.641953336,max,rare,25,0.6470588235294118,17,11,276.74459
68,0.23621084776119403,0.2176264,mini_swe_agent_gpt_5_6_luna_medium,67,mini-swe-agent,0,0.23593754705882353,gpt-5-6-luna,68,0.014705882352941176,39.0,openai,-33.0,6.0,16.0437532,0.9864354432976442,15.826126799999999,medium,rare,1,0.058823529411764705,17,1,16.0437532
68,1.8226003824561403,2.591071,mini_swe_agent_gpt_5_6_luna_xhigh,57,mini-swe-agent,0,1.946911805882353,gpt-5-6-luna,68,0.16176470588235295,19.5,openai,-16.5,3.0,12.035454799999998,0.7847134949981284,9.444383799999999,xhigh,rare,11,0.29411764705882354,17,5,132.3900028
68,3.8590776,4.349795692307692,mini_swe_agent_gpt_5_6_sol_high,55,mini-swe-agent,0,3.9528913529411764,gpt-5-6-sol,68,0.19117647058823528,13.5,openai,-0.5,13.0,20.67666246153846,0.789627765099956,16.32686676923077,high,rare,13,0.4117647058823529,17,7,268.796612
68,1.3373252153846154,0.9021243333333333,mini_swe_agent_gpt_5_6_sol_low,65,mini-swe-agent,0,1.3181251764705884,gpt-5-6-sol,68,0.04411764705882353,35.5,openai,-14.5,21.0,29.877504000000002,0.969805900341162,28.97537966666667,low,rare,3,0.17647058823529413,17,3,89.632512
